Change_Type,Package_Name,Package_Type,Old_Version,New_Version,Old_Install_Time,New_Install_Time
Added,/usr/share/man/man1/dircolors.1.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/zoneinfo/Europe/Helsinki,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/In/9_0.pl,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/zoneinfo/America/St_Lucia,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/doc/libunistring5/changelog.Debian.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/locale/sr/LC_MESSAGES/opcodes.mo,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/man/man3/ldap_next_reference.3.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/bin/split,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/x86_64-linux-gnu/liblz4.so.1.10.0,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/locale/uk/LC_MESSAGES/libidn2.mo,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/x86_64-linux-gnu/perl/5.40.1/DynaLoader.pm,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/x86_64-linux-gnu/perl/debian-config-data-5.40.1/config.sh.shared.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/man/man1/pod2html.1.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/perl/5.40.1/unicore/lib/SB/FO.pl,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/openssl/kdferr.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/perl5/Debconf/Element/Teletype/Select.pm,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/locale/cs/LC_MESSAGES/gnutls30.mo,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/x86_64-linux-gnu/pkgconfig/fftw3.pc,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/perl/5.40.1/Test2/Tools/Defer.pm,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/x86_64-linux-gnu/libmariadb.a,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/man/man3/mysql_options.3.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/man/de/man1/apt-transport-https.1.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/man/man1/git-instaweb.1.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/autoconf/autoconf/programs.m4,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/man/man3/libssh2_trace_sethandler.3.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/man/pt/man5/dsc.5.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/zoneinfo/Europe/Zagreb,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/perl/5.40.1/Test2/Require/Module.pm,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/x86_64-linux-gnu/libssh2.a,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/X11/locale/zh_CN.gbk/XLC_LOCALE,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/man/man3/Dpkg::Shlibs.3perl.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/linux/tty.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/x86_64-linux-gnu/sys/signal.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/perl/5.40.1/Unicode/Collate/Locale/de_phone.pl,file,,,,2025-10-30T08:55:44Z
Added,/var/lib/dpkg/info/mariadb-common.postinst,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/perl/5.40.1/ExtUtils/CBuilder/Platform/android.pm,file,,,,2025-10-30T08:55:44Z
Added,/usr/include/openssl/async.h,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/X11/locale/tscii-0/Compose,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/doc/libxslt1-dev/gtk-doc/html/libexslt/libexslt.devhelp2,file,,,,2025-10-30T08:55:44Z
Added,/var/lib/dpkg/info/imagemagick-7.q16.md5sums,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/systemd/user/keyboxd.socket,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/python3/dist-packages/mercurial/destutil.py,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/doc/mercurial/changelog.Debian.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/share/doc/ucf/changelog.gz,file,,,,2025-10-30T08:55:44Z
Added,/usr/lib/gcc/x86_64-linux-gnu/14/crtbeginT.o,file,,,,2025-10-30T08:55:44Z
